FIPS,Qualifying Name,File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Population 25 Years and Over,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Diploma,Population 25 Years and Over: Bachelor's Degree or Better,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better
15003000116,"Census Tract 1.16, Honolulu County, Hawaii",ACSSF,hi,140,0,345,15,3,116,14000US15003000116,Census Tract 1.16,,1748,0,593,1155,0,33.92,66.08
15003000117,"Census Tract 1.17, Honolulu County, Hawaii",ACSSF,hi,140,0,346,15,3,117,14000US15003000117,Census Tract 1.17,,980,0,343,637,0,35,65
15003000118,"Census Tract 1.18, Honolulu County, Hawaii",ACSSF,hi,140,0,347,15,3,118,14000US15003000118,Census Tract 1.18,,1396,77,481,838,5.52,34.46,60.03
15003000119,"Census Tract 1.19, Honolulu County, Hawaii",ACSSF,hi,140,0,348,15,3,119,14000US15003000119,Census Tract 1.19,,1771,182,766,823,10.28,43.25,46.47
15003000120,"Census Tract 1.20, Honolulu County, Hawaii",ACSSF,hi,140,0,349,15,3,120,14000US15003000120,Census Tract 1.20,,1624,28,505,1091,1.72,31.1,67.18
15003000121,"Census Tract 1.21, Honolulu County, Hawaii",ACSSF,hi,140,0,350,15,3,121,14000US15003000121,Census Tract 1.21,,1821,16,501,1304,0.88,27.51,71.61
15003000122,"Census Tract 1.22, Honolulu County, Hawaii",ACSSF,hi,140,0,351,15,3,122,14000US15003000122,Census Tract 1.22,,2719,41,1827,851,1.51,67.19,31.3
15003000200,"Census Tract 2, Honolulu County, Hawaii",ACSSF,hi,140,0,352,15,3,200,14000US15003000200,Census Tract 2,,4058,213,1675,2170,5.25,41.28,53.47
15003000301,"Census Tract 3.01, Honolulu County, Hawaii",ACSSF,hi,140,0,353,15,3,301,14000US15003000301,Census Tract 3.01,,2886,70,1156,1660,2.43,40.06,57.52
15003000302,"Census Tract 3.02, Honolulu County, Hawaii",ACSSF,hi,140,0,354,15,3,302,14000US15003000302,Census Tract 3.02,,2096,60,856,1180,2.86,40.84,56.3
15003000401,"Census Tract 4.01, Honolulu County, Hawaii",ACSSF,hi,140,0,355,15,3,401,14000US15003000401,Census Tract 4.01,,2140,36,667,1437,1.68,31.17,67.15
15003000402,"Census Tract 4.02, Honolulu County, Hawaii",ACSSF,hi,140,0,356,15,3,402,14000US15003000402,Census Tract 4.02,,3061,55,850,2156,1.8,27.77,70.43
15003000500,"Census Tract 5, Honolulu County, Hawaii",ACSSF,hi,140,0,357,15,3,500,14000US15003000500,Census Tract 5,,2711,52,1045,1614,1.92,38.55,59.54
15003000600,"Census Tract 6, Honolulu County, Hawaii",ACSSF,hi,140,0,358,15,3,600,14000US15003000600,Census Tract 6,,1038,0,337,701,0,32.47,67.53
15003000700,"Census Tract 7, Honolulu County, Hawaii",ACSSF,hi,140,0,359,15,3,700,14000US15003000700,Census Tract 7,,2600,230,1251,1119,8.85,48.12,43.04
15003000800,"Census Tract 8, Honolulu County, Hawaii",ACSSF,hi,140,0,360,15,3,800,14000US15003000800,Census Tract 8,,3025,136,1416,1473,4.5,46.81,48.69
15003000901,"Census Tract 9.01, Honolulu County, Hawaii",ACSSF,hi,140,0,361,15,3,901,14000US15003000901,Census Tract 9.01,,1932,24,760,1148,1.24,39.34,59.42
15003000903,"Census Tract 9.03, Honolulu County, Hawaii",ACSSF,hi,140,0,362,15,3,903,14000US15003000903,Census Tract 9.03,,2061,70,914,1077,3.4,44.35,52.26
